,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Opera House Hotel,40.81525,-73.91609,Mexicozina Taqueria,40.814964,-73.915797,Restaurant
1,Opera House Hotel,40.81525,-73.91609,Opera House Hotel,40.81525,-73.91609,Hotel
2,Opera House Hotel,40.81525,-73.91609,El Valle Restaurant,40.81513441012551,-73.91549250312227,Restaurant
3,Opera House Hotel,40.81525,-73.91609,La Granja Peruvian Restaurant,40.81463623046875,-73.91487121582031,Restaurant
4,Opera House Hotel,40.81525,-73.91609,Blink Fitness,40.81686134124006,-73.91716695615901,Gym
5,Opera House Hotel,40.81525,-73.91609,GameStop,40.81658099268488,-73.91649982580498,Video Game Store
6,Opera House Hotel,40.81525,-73.91609,Fine Fare,40.81514869257417,-73.91492535639435,Supermarket
7,Opera House Hotel,40.81525,-73.91609,Carter's,40.817395,-73.915988,Kids Store
8,Opera House Hotel,40.81525,-73.91609,AT&T,40.8166890353745,-73.91623595213218,Mobile Phone Shop
9,Opera House Hotel,40.81525,-73.91609,Planet Fitness,40.81691124409102,-73.9154065975237,Financial or Legal Service
10,Opera House Hotel,40.81525,-73.91609,Subway,40.81595625019871,-73.9168037680472,Sandwich Place
11,Opera House Hotel,40.81525,-73.91609,T-Mobile,40.816785,-73.916762,Mobile Phone Shop
12,Opera House Hotel,40.81525,-73.91609,The Children's Place,40.817278,-73.9155,Kids Store
13,Opera House Hotel,40.81525,-73.91609,Dunkin',40.81549447939801,-73.91564301228584,Donut Shop
14,Opera House Hotel,40.81525,-73.91609,Capital One Bank,40.816433576468356,-73.91787013507383,Bank
15,Opera House Hotel,40.81525,-73.91609,Cookie's Dept. Stores,40.8167,-73.917976,Kids Store
16,Opera House Hotel,40.81525,-73.91609,Popeyes Louisiana Kitchen,40.81556561977151,-73.91900774062458,Fried Chicken Joint
17,Opera House Hotel,40.81525,-73.91609,Wendy’s,40.8164118,-73.91824919999999,Restaurant
18,Opera House Hotel,40.81525,-73.91609,McDonald's,40.816261,-73.917053,Restaurant
19,Opera House Hotel,40.81525,-73.91609,Foot Locker,40.81681355735677,-73.91609877347946,Shoe Store
20,Opera House Hotel,40.81525,-73.91609,Youngland,40.81710142926612,-73.91580018070557,Shop & Service
21,Opera House Hotel,40.81525,-73.91609,KFC,40.81652419833623,-73.91846063655714,Fried Chicken Joint
22,Opera House Hotel,40.81525,-73.91609,Cee & Cee,40.815698,-73.917397,Department Store
23,Opera House Hotel,40.81525,-73.91609,New Wok,40.813538,-73.9161,Restaurant
24,Opera House Hotel,40.81525,-73.91609,Ruinas de Copán,40.813538,-73.9161,Restaurant
25,Opera House Hotel,40.81525,-73.91609,Dr. Jay's,40.816134000000005,-73.916689,Department Store
