,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Hotel Victoria,43.64808421544407,-79.37758193835406,Hockey Hall Of Fame (Hockey Hall of Fame),43.646974451431056,-79.37732323942681,Museum
1,Hotel Victoria,43.64808421544407,-79.37758193835406,Mos Mos Coffee,43.64815919753501,-79.37874450467258,Café
2,Hotel Victoria,43.64808421544407,-79.37758193835406,Berczy Park,43.64804835388851,-79.3751722909452,Park
3,Hotel Victoria,43.64808421544407,-79.37758193835406,Equinox Bay Street,43.64809974034856,-79.37998869411526,Gym
4,Hotel Victoria,43.64808421544407,-79.37758193835406,Beerbistro,43.64941904378835,-79.37723726034164,Gastropub
5,Hotel Victoria,43.64808421544407,-79.37758193835406,Walrus Pub & Beer Hall,43.64737470920577,-79.37951515363918,Pub
6,Hotel Victoria,43.64808421544407,-79.37758193835406,Biff's Bistro,43.647084825125084,-79.37634231908494,French Restaurant
7,Hotel Victoria,43.64808421544407,-79.37758193835406,Café Plenty,43.6491179354577,-79.37831288380438,Café
8,Hotel Victoria,43.64808421544407,-79.37758193835406,Ki Modern Japanese + Bar,43.647223,-79.3793738,Japanese Restaurant
9,Hotel Victoria,43.64808421544407,-79.37758193835406,Chotto Matte,43.646473,-79.378782,Japanese Restaurant
10,Hotel Victoria,43.64808421544407,-79.37758193835406,Garrison Bespoke,43.648102,-79.376334,Tailor Shop
11,Hotel Victoria,43.64808421544407,-79.37758193835406,Dog Fountain,43.64799795147863,-79.37536096948996,Fountain
12,Hotel Victoria,43.64808421544407,-79.37758193835406,The Omni King Edward Hotel,43.64919051601911,-79.37600612640387,Hotel
13,Hotel Victoria,43.64808421544407,-79.37758193835406,Dineen @CommerceCourt,43.648250543365556,-79.38012728220869,Coffee Shop
14,Hotel Victoria,43.64808421544407,-79.37758193835406,Petit Four Bakery,43.647743692587085,-79.37958814250598,Sandwich Place
15,Hotel Victoria,43.64808421544407,-79.37758193835406,Design Exchange,43.64797219581623,-79.38010382588462,Art Gallery
16,Hotel Victoria,43.64808421544407,-79.37758193835406,Olly Fresco's,43.646912231909276,-79.37959661696463,Deli / Bodega
17,Hotel Victoria,43.64808421544407,-79.37758193835406,Cosmopolitan Toronto Centre Hotel & Spa,43.64906432957466,-79.37759759701125,Hotel
18,Hotel Victoria,43.64808421544407,-79.37758193835406,Sukhothai,43.64848710249909,-79.37454735245633,Thai Restaurant
19,Hotel Victoria,43.64808421544407,-79.37758193835406,Pravda Vodka Bar,43.64851553067474,-79.37473231149953,Cocktail Bar
20,Hotel Victoria,43.64808421544407,-79.37758193835406,The Reservoir Lounge,43.64851659851552,-79.37455623391588,Jazz Club
21,Hotel Victoria,43.64808421544407,-79.37758193835406,Carisma,43.64961671774303,-79.3754337751762,Italian Restaurant
22,Hotel Victoria,43.64808421544407,-79.37758193835406,Indigospirit,43.64834987590252,-79.38034747310336,Bookstore
23,Hotel Victoria,43.64808421544407,-79.37758193835406,Victoria's Restaurant,43.64929834396347,-79.37643067251867,Restaurant
24,Hotel Victoria,43.64808421544407,-79.37758193835406,Buster's Sea Cove,43.64777410584289,-79.37918080262172,Seafood Restaurant
25,Hotel Victoria,43.64808421544407,-79.37758193835406,Meridian Hall,43.646292124205594,-79.37602179505662,Concert Hall
26,Hotel Victoria,43.64808421544407,-79.37758193835406,Starbucks,43.647261,-79.378599,Coffee Shop
27,Hotel Victoria,43.64808421544407,-79.37758193835406,Bikram Yoga Centre,43.64921400338286,-79.37522894013361,Yoga Studio
